definition,see_also,change,text_change,examples,code_2020,title_2020,code_2010,title_2010
"A program that focuses on  environment-related issues using scientific, social scientific, or humanistic approaches or a combination.  Includes instruction in the basic principles of ecology and environmental science and related subjects such as policy, politics, law, economics, social aspects, planning, pollution control, natural resources, and the interactions of human beings and nature","14.1401) Environmental/Environmental Health Engineering., 30.4401) Geography and Environmental Studies.",No Substantive Changes,None available,[Ecosystem Studies],03.0103,Environmental Studies.,03.0103,Environmental Studies.
"A program that focuses on the application of biological, chemical, and physical principles to the study of the physical environment and the solution of environmental problems, including subjects such as abating or controlling environmental pollution and degradation; the interaction between human society and the natural environment; and natural resources management.  Includes instruction in biology, chemistry, physics, geosciences, climatology, statistics, and mathematical modeling","14.1401) Environmental/Environmental Health Engineering., 26.1305) Environmental Biology., 26.1307) Conservation Biology.",No Substantive Changes,None available,[Bioenvironmental Sciences],03.0104,Environmental Science.,03.0104,Environmental Science.
Any instructional program in natural resources conservation and research not listed above,None available,No Substantive Changes,None available,[Environmental Conservation and Reclamation],03.0199,"Natural Resources Conservation and Research, Other.",03.0199,"Natural Resources Conservation and Research, Other."
Instructional content for this group of programs is defined in codes 03.0201- 03.0299,None available,No Substantive Changes,None available,None available,03.02,Environmental/Natural Resources Management and Policy.,03.02,Natural Resources Management and Policy.
"A program that prepares individuals to plan, develop, manage, and evaluate programs to protect and regulate natural habitats and renewable natural resources.  Includes instruction in the principles of wildlife and conservation biology, environmental science, animal population surveying, natural resource economics, management techniques for various habitats, applicable law and policy, administrative and communications skills, and public relations",None available,No Substantive Changes,None available,[Ecosystem Management]:::::[Environmental Policy and Decision Making],03.0201,"Environmental/Natural Resources Management and Policy, General.",03.0201,Natural Resources Management and Policy.
"A program that focuses on the application of economic concepts and methods to the analysis of issues such as air and water pollution, land use planning, waste disposal, invasive species and pest control, conservation policies, and related environmental problems.  Includes instruction in cost-benefit analysis, environmental impact assessment, evaluation and assessment of alternative resource management strategies, policy evaluation and monitoring, and descriptive and analytic tools for studying how environmental developments affect the economic system",01.0103) Agricultural Economics.,No Substantive Changes,None available,[Environmental Economics and Policy],03.0204,Environmental/Natural Resource Economics.,03.0204,Natural Resource Economics.
"A program that prepares individuals to apply the principles of marine/aquatic biology, oceanography, natural resource economics, and natural resources management to the development, conservation, and management of freshwater and saltwater environments. Includes instruction in subjects such as wetlands, riverine, lacustrine, coastal, and oceanic water resources; water conservation and use; flood control; pollution control; water supply logistics; wastewater management; aquatic and marine ecology; aquatic and marine life conservation; and the economic and recreational uses of water resources","14.0805) Water Resources Engineering., 26.1304) Aquatic Biology/Limnology., 40.0605) Hydrology and Water Resources Science.",No Substantive Changes,None available,None available,03.0205,"Water, Wetlands, and Marine Resources Management.",03.0205,"Water, Wetlands, and Marine Resources Management."
"A program that focuses on how public and/or private land and associated resources can be preserved, developed, and used for maximum social, economic, and environmental benefit.  Includes instruction in natural resources management, natural resource economics, public policy, regional and land use planning, environmental impact assessment, applicable law and regulations, government and politics, principles of business and real estate land use, statistical and analytical tools, computer applications, mapping and report preparation, site analysis, cost analysis, and communications skills","04.0601) Landscape Architecture., 31.0301) Parks, Recreation and Leisure Facilities Management, General.",No Substantive Changes,None available,None available,03.0206,Land Use Planning and Management/Development.,03.0206,Land Use Planning and Management/Development.
"A program that prepares individuals to plan, develop, and manage tourism in a natural resource setting, with an emphasis on applying environmentally sound, culturally sensitive, and economically sustainable principles. Includes instruction in environmental studies; natural resource management and interpretation; tourism planning, management, and policies; public land use management and policies; communications; marketing; and public relations","31.0301) Parks, Recreation and Leisure Facilities Management, General.",No Substantive Changes,None available,[Ecotourism]:::::[Resource Recreation and Tourism]:::::[Nature-Based Tourism]:::::[Natural Resources Interpretation]:::::[Hunting and Fishing Guide],03.0207,Environmental/Natural Resource Recreation and Tourism.,03.0207,Natural Resource Recreation and Tourism.
"A program that prepares individuals to enforce natural resource and environmental protection regulations and laws; and to perform emergency duties to protect human life, property and natural resources, including fire prevention and control measures, and emergency and rescue procedures. Includes instruction in natural and physical sciences, natural resource management, outdoor field skills, firearms and outdoor equipment and vehicle operation, evidence collection and environmental sampling and monitoring, natural resource legislation, environmental compliance techniques, patrol procedures, investigation and report writing, interpersonal skills and crisis intervention, community liaison, public safety, public education, and public relations. Note: this program was re-instated after being deleted from CIP 2000; previously, it was coded as 03.0203",None available,No Substantive Changes,None available,[Conservation Enforcement],03.0208,Environmental/Natural Resources Law Enforcement and Protective Services.,03.0208,Natural Resources Law Enforcement and Protective Services.
"A program of study that focuses on the systematic analysis of public policy issues related to climate change, energy policy, environmental economics, global sustainability, and security. Includes instruction in climate change, clean energy technologies, environmental policy, environmental law, environmental economics, food security, fossil fuels, renewable and sustainable energy sources, and water issues",None available,New,None available,None available,03.0209,Energy and Environmental Policy.,,
"A program of study that focuses on the environmental and economic impact of using plants and microbes for the production of bio-based fuels such as ethanol and biodiesel. Includes instruction in biochemical engineering, bioprocessing, bioseparations, conversion, feedstock, economics, environmental sustainability, hydrology, and natural resource management",None available,New,None available,None available,03.0210,Bioenergy.,,
Any instructional program in environmental or natural resources management and policy not listed above,None available,No Substantive Changes,None available,None available,03.0299,"Environmental/Natural Resources Management and Policy, Other.",03.0299,"Natural Resources Management and Policy, Other."
Instructional content is defined in code 03.0301,None available,No Substantive Changes,None available,None available,03.03,Fishing and Fisheries Sciences and Management.,03.03,Fishing and Fisheries Sciences and Management.
"A program that focuses on the scientific study of the husbandry and production of non-domesticated fish and shellfish populations for recreational and commercial purposes and the management of fishing and marine/aquatic product processing to ensure adequate conservation and efficient utilization.  Includes instruction in the principles of marine/aquatic biology, freshwater and saltwater ecosystems, water resources, fishing production operations and management, fishing policy and regulation, and the management of recreational and commercial fishing activities","26.1302) Marine Biology and Biological Oceanography., 49.0303) Commercial Fishing.",No Substantive Changes,None available,None available,03.0301,Fishing and Fisheries Sciences and Management.,03.0301,Fishing and Fisheries Sciences and Management.
Instructional content for this group of programs is defined in codes 03.0501 - 03.0599,None available,No Substantive Changes,None available,None available,03.05,Forestry.,03.05,Forestry.
"A program that generally prepares individuals to manage and develop forest areas for economic, recreational, and ecological purposes.  Includes instruction in forest-related sciences, mapping, statistics, harvesting and production technology, natural resources management and economics, wildlife sciences, administration, and public relations",14.3401) Forest Engineering.,No Substantive Changes,None available,None available,03.0501,"Forestry, General.",03.0501,"Forestry, General."
"A program that focuses on the application of one or more forest-related sciences to the study of environmental factors affecting forests and the growth and management of forest resources.  Includes instruction in forest biology, forest hydrology, forest mensuration, silviculture, forest soils, water resources, environmental science, forest resources management, and wood science",None available,No Substantive Changes,None available,None available,03.0502,Forest Sciences and Biology.,03.0502,Forest Sciences and Biology.
"A program that prepares individuals to apply principles of forestry and natural resources management to the administration of forest lands and related resources.  Includes instruction in silviculture, forest mensuration, forest protection, inventorying, biometrics, geographic information systems, remote sensing, photogrammetry, forest policy and economics, forest land use planning, fire protection and management, and related administrative skills",None available,No Substantive Changes,None available,[Silviculture]:::::[Sylviculture],03.0506,Forest Management/Forest Resources Management.,03.0506,Forest Management/Forest Resources Management.
"A program that prepares individuals to apply the principles of forestry and related sciences to the development, care, and maintenance of individual trees and forested areas within or close to areas of dense human habitation.  Includes instruction in urban environments; effects of pollution on tree species; environmental design and landscaping; urban pest infestation; urban forest management; and applicable policies and regulations",None available,No Substantive Changes,None available,[Arboriculture],03.0508,Urban Forestry.,03.0508,Urban Forestry.
"A program that focuses on the application of chemical, physical, and engineering principles to the analysis of the properties and behavior of wood and wood products and the development of processes for converting wood into paper and other products.  Includes instruction in wood classification and testing, product development, manufacturing and processing technologies, and the design and development of related equipment and systems",14.4001) Paper Science and Engineering.,No Substantive Changes,None available,None available,03.0509,Wood Science and Wood Products/Pulp and Paper Technology/Technician.,03.0509,Wood Science and Wood Products/Pulp and Paper Technology.
"A program that focuses on the application of forestry principles to the production, harvesting, and processing of forest resources and that prepares individuals to perform associated technical and managerial functions.  Includes instruction in forest production and utilization, industrial forestry, agroforestry, transplantation, timber harvesting, selection and identification of trees, processing technologies and systems, equipment operations and maintenance, and related management skills",None available,No Substantive Changes,None available,None available,03.0510,Forest Resources Production and Management.,03.0510,Forest Resources Production and Management.
"A program that prepares individuals to assist foresters in the management and production of forest resources.  Includes instruction in woods and field skills, tree identification, timber measurement, logging and timber harvesting, forest propagation and regeneration, forest fire-fighting, resource management, equipment operation and maintenance, record-keeping, sales and purchasing operations, and personnel supervision",None available,No Substantive Changes,None available,None available,03.0511,Forest Technology/Technician.,03.0511,Forest Technology/Technician.
Any program in forestry not listed above,None available,No Substantive Changes,None available,None available,03.0599,"Forestry, Other.",03.0599,"Forestry, Other."
Instructional content is defined in code 03.0601,None available,No Substantive Changes,None available,None available,03.06,Wildlife and Wildlands Science and Management.,03.06,Wildlife and Wildlands Science and Management.
"A program that prepares individuals to conserve and manage wilderness areas and the flora, marine and aquatic life therein, and manage wildlife reservations and zoological/aquarium facilities for recreational, commercial, and ecological purposes. Includes instruction in wildlife biology, marine/aquatic biology, environmental science,  freshwater and saltwater ecosystems, natural resources management and policy, outdoor recreation and parks management, the design and operation of natural and artificial wildlife habitats, applicable law and regulations, and related administrative and communications skills",26.0709) Wildlife Biology.,No Substantive Changes,None available,None available,03.0601,"Wildlife, Fish and Wildlands Science and Management.",03.0601,"Wildlife, Fish and Wildlands Science and Management."
Instructional content is defined in code 03.9999,None available,No Substantive Changes,None available,None available,03.99,"Natural Resources and Conservation, Other.",03.99,"Natural Resources and Conservation, Other."
Any instructional program in natural resources and conservation not listed above,None available,No Substantive Changes,None available,[Hunting and Trapping],03.9999,"Natural Resources and Conservation, Other.",03.9999,"Natural Resources and Conservation, Other."
Instructional programs that prepare individuals for professional practice in the various architecture-related fields and focus on the study of related aesthetic and socioeconomic aspects of the built environment,None available,No Substantive Changes,None available,None available,04,ARCHITECTURE AND RELATED SERVICES.,04,ARCHITECTURE AND RELATED SERVICES.
Instructional content for this group of programs is defined in codes 04.0200 - 04.0299,None available,No Substantive Changes,None available,None available,04.02,Architecture.,04.02,Architecture.
"A program of study that is a precursor to an advanced degree in architecture. Includes instruction in architectural design, architectural graphics, architectural history, architectural technology, architectural theory and criticism, building technology, calculus, design studio, human factors, environmental architecture, geometry and trigonometry, physics, and technical drawing",None available,New,None available,[Pre-Architecture],04.0200,Pre-Architecture Studies.,,
"A program that prepares individuals for the independent professional practice of architecture and to conduct research in various aspects of the field.  Includes instruction in architectural design, history, and theory; building structures and environmental systems; project and site planning; construction; professional responsibilities and standards; and related cultural, social, economic, and environmental issues","14.0401) Architectural Engineering., 15.1303) Architectural Drafting and Architectural CAD/CADD.",No Substantive Changes,None available,"[Architecture (BArch, BA/BS)]:::::[Architecture (MArch/MA/MS)]:::::[Architecture (PhD)]",04.0201,Architecture.,04.0201,Architecture.
"An advanced program of study for architects and related professionals that focuses on theoretical and practical issues in architecture and integrates digital technologies into architectural design, fabrication, and construction. Includes instruction in architectural history and urban theory, 3-D digital technologies, construction, design and fabrication methods, and sustainable practices in architecture",None available,New,None available,None available,04.0202,Architectural Design.,,
Any instructional program in architecture not listed above,None available,New,None available,None available,04.0299,"Architecture, Other.",,
Instructional content is defined in code 04.0301,None available,No Substantive Changes,None available,None available,04.03,"City/Urban, Community, and Regional Planning.",04.03,"City/Urban, Community and Regional Planning."
"A program that prepares individuals to apply principles of planning, analysis, and architecture to the development and improvement of urban areas and surrounding regions, and to function as professional planners.  Includes instruction in principles of architecture; master plan development; service, communications, and transportation systems design; community and commercial development; zoning; land use planning; applied economics; policy analysis; applicable laws and regulations; and professional responsibilities and managerial duties",45.1201) Urban Studies/Affairs.,No Substantive Changes,None available,[Urban Design],04.0301,"City/Urban, Community, and Regional Planning.",04.0301,"City/Urban, Community and Regional Planning."
Instructional content for this group of programs is defined in codes 04.0401 - 04.0499,None available,No Substantive Changes,None available,None available,04.04,Environmental Design.,04.04,Environmental Design.
"A program that prepares individuals to design public and private spaces, indoor and outdoor, for leisure, recreational, commercial, and living purposes, and for professional practice as environmental designers and architects.  Includes instruction in the design and planning of public and private open spaces and their relationship to buildings and other aspects of the built environment; facilities management; related aspects of interior design and architecture, landscape architecture, and urban planning; and professional responsibilities and standards","19.0601) Housing and Human Environments, General.",No Substantive Changes,None available,None available,04.0401,Environmental Design/Architecture.,04.0401,Environmental Design/Architecture.
"A program that focuses on the design and performance of healthcare environments to optimize healing. Includes instruction in interior design, architecture, healing sciences, healthcare environments, human-centered design, and healthcare delivery",30.3701) Design for Human Health.,New,None available,None available,04.0402,Healthcare Environment Design/Architecture.,,
"A program that focuses on the application of biological, physical, and social science in the design of sustainable cities and metropolitan regions. Includes instruction in community revitalization, community economic development, construction technology, design innovation, environmental economics, ethics, justice and politics, sustainable materials, sustainability theory, structural materials, and urbanism",None available,New,None available,None available,04.0403,Sustainable Design/Architecture.,,
Any instructional program in environmental design not listed above,None available,New,None available,None available,04.0499,"Environmental Design, Other.",,
Instructional content is defined in code 04.0501,None available,No Substantive Changes,None available,None available,04.05,Interior Architecture.,04.05,Interior Architecture.
"A program that prepares individuals to apply architectural principles in the design of structural interiors for living, recreational, and business purposes and to function as professional interior architects.  Includes instruction in architecture, structural systems design, heating and cooling systems, occupational and safety standards, interior design, specific end-use applications, and professional responsibilities and standards",50.0408) Interior Design.,No Substantive Changes,None available,None available,04.0501,Interior Architecture.,04.0501,Interior Architecture.
Instructional content is defined in code 04.0601,None available,No Substantive Changes,None available,None available,04.06,Landscape Architecture.,04.06,Landscape Architecture.
"A program that prepares individuals for the independent professional practice of landscape architecture and research in various aspects of the field.  Includes instruction in geology and hydrology; soils, groundcovers, and horticultural elements; project and site planning; landscape design, history, and theory; environmental design; applicable law and regulations; and professional responsibilities and standards","01.0605) Landscaping and Groundskeeping., 03.0206) Land Use Planning and Management/Development.",No Substantive Changes,None available,"[Landscape Architecture (BS, BSLA, BLA)]:::::[Landscape Architecture (MSLA, MLA)]:::::[Landscape Architecture (PhD)]",04.0601,Landscape Architecture.,04.0601,Landscape Architecture.
Instructional content is defined in code 04.0801,None available,No Substantive Changes,None available,None available,04.08,"Architectural History, Criticism, and Conservation.",04.08,Architectural History and Criticism.
"A general program that focuses on the aesthetic, technical, and social development of the built environment and the architectural profession from earliest times to the present.  Includes instruction in the principles of architecture and related fields; art history; historiography of architecture; architectural theory and criticism; related aspects of the history of technology and social and economic history; and various period, cultural, and stylistic specializations",None available,No Substantive Changes,None available,None available,04.0801,"Architectural History and Criticism, General.",04.0801,"Architectural History and Criticism, General."
"A program that focuses on the architectural design principles and building techniques used in historic structures and environments, and the process of saving and restoring old buildings and districts for contemporary use and enjoyment. Includes instruction in architectural history, building conservation techniques, and material conservation",30.1201) Historic Preservation and Conservation.,New,None available,None available,04.0802,Architectural Conservation.,,
"A program that focuses on the study of architecture, cities, landscapes, designed objects, ornament, architectural photography, and material culture in diverse places and time periods, and the social and aesthetic dimensions of contemporary architecture, landscapes, and cities, emphasizing issues of sustainable environments, new forms of urbanism, and the use of digital media for visualization and analysis. Includes instruction in the fundamentals of architecture, design, environmental and sustainability studies, historic preservation, landscape architecture, studio art, and urban affairs and planning",None available,New,None available,None available,04.0803,Architectural Studies.,,
"Any instructional program in architectural history, criticism, and conservation not listed above",None available,New,None available,None available,04.0899,"Architectural History, Criticism, and Conservation, Other.",,
Instructional content for this group of programs is defined in codes 04.0901 - 04.0999,None available,No Substantive Changes,None available,None available,04.09,Architectural Sciences and Technology.,04.09,Architectural Sciences and Technology.
"A program that prepares individuals to assist architects in developing plans and related documentation and in performing architectural office services.  Includes instruction in architectural drafting, computer-assisted drafting and design, construction methods and materials, environmental systems, building codes and standards, structural principles, cost estimation, planning documentation, visual communication skills, display production, and architectural office management",15.1303) Architectural Drafting and Architectural CAD/CADD.,No Substantive Changes,None available,None available,04.0901,Architectural Technology/Technician.,04.0901,Architectural Technology/Technician.
"A program that  focuses on the application of advanced technology to building design and construction, retrofitting existing buildings, and efficient operation of buildings, including lighting and daylight design, acoustics, solar design, building conservation, and energy-conscious design.  Includes instruction in architecture, building technology, civil and structural engineering, mechanical engineering, environmental control systems, sustainability, and computer tools and applications",None available,No Substantive Changes,None available,"[Architectural and Building Sciences/Technology (BArch, BA/BS)]:::::[Architectural and Building Sciences/Technology (MArch/MA/MS)]:::::[Architectural and Building Sciences/Technology (PhD)]",04.0902,Architectural and Building Sciences/Technology.,04.0902,Architectural and Building Sciences/Technology.
Any instructional program in architectural sciences and technology not listed above,None available,No Substantive Changes,None available,None available,04.0999,"Architectural Sciences and Technology, Other.",04.0999,"Architectural Sciences and Technology, Other."
Instructional content is defined in code 04.1001,None available,No Substantive Changes,None available,None available,04.10,Real Estate Development.,04.10,Real Estate Development.
"A program that prepares individuals to create and redevelop housing, offices, retail centers, and industrial sites.  Includes instruction in architectural design and construction, historic preservation, landscape architecture, urban planning and design, business, real estate and land use law, public policy, and engineering",52.1501) Real Estate.,No Substantive Changes,None available,None available,04.1001,Real Estate Development.,04.1001,Real Estate Development.
Instructional content is defined in code 04.9999,None available,No Substantive Changes,None available,None available,04.99,"Architecture and Related Services, Other.",04.99,"Architecture and Related Services, Other."
Any instructional program in architecture and related programs not listed above,None available,No Substantive Changes,None available,None available,04.9999,"Architecture and Related Services, Other.",04.9999,"Architecture and Related Services, Other."
"Instructional programs that focus on the defined areas, regions, and countries of the world; defined minority groups within and across societies; and issues relevant to collective gender and group experience",None available,No Substantive Changes,None available,None available,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
Instructional content for this group of programs is defined in codes 05.0101 - 05.0199,None available,No Substantive Changes,None available,None available,05.01,Area Studies.,05.01,Area Studies.
"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of the African Continent, usually with an emphasis on Africa south of the Sahara, and including the African diasporas overseas",05.0201) African-American/Black Studies.,No Substantive Changes,None available,None available,05.0101,African Studies.,05.0101,African Studies.
"A program that focuses on the history, society, politics, culture, and economics of the United States and its Pre-Columbian and colonial predecessors, and including the flow of immigrants from other societies",None available,No Substantive Changes,None available,None available,05.0102,American/United States Studies/Civilization.,05.0102,American/United States Studies/Civilization.
"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of the Asian Continent, including the study of the Asian diasporas overseas",05.0206) Asian-American Studies.,No Substantive Changes,None available,None available,05.0103,Asian Studies/Civilization.,05.0103,Asian Studies/Civilization.
"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of East Asia, defined as including China, Korea, Japan, Mongolia, Taiwan, Tibet, related borderlands and island groups, and including the study of the East Asian diasporas overseas",None available,No Substantive Changes,None available,None available,05.0104,East Asian Studies.,05.0104,East Asian Studies.
"A program that focuses on the history, society, politics, culture, and economics of the region encompassing Russia, Central Europe, Eastern Europe, and Eurasia, including the Balkan, Baltic, Caucasus, and Central Asian states that were republics of the former Soviet Union",05.0110) Russian Studies.,No Substantive Changes,None available,[Russian and East European Studies]:::::[Central and Eastern European Studies]:::::[CIS Studies],05.0105,"Russian, Central European, East European and Eurasian Studies.",05.0105,"Russian, Central European, East European and Eurasian Studies."
"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of the European Continent, including the study of European migration patterns and colonial empires",None available,No Substantive Changes,None available,None available,05.0106,European Studies/Civilization.,05.0106,European Studies/Civilization.
"A program that focuses on the history, society, politics, culture, and economics of one or more of the Hispanic peoples of the North and South American Continents outside Canada and the United States, including the study of the Pre-Columbian period and the flow of immigrants from other societies","05.0203) Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies.",No Substantive Changes,None available,None available,05.0107,Latin American Studies.,05.0107,Latin American Studies.
"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of North Africa, Southwestern Asia, Asia Minor, and the Arabian Peninsula, related borderlands and island groups, and including emigrant and immigrant groups","30.2202) Classical, Ancient Mediterranean and Near Eastern Studies and Archaeology.",No Substantive Changes,None available,[Modern Middle Eastern Studies],05.0108,Near and Middle Eastern Studies.,05.0108,Near and Middle Eastern Studies.
"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of Australasia and the Pacific Ocean, related island groups and bordering coastal regions, and including pre- and post-colonial migration patterns",None available,No Substantive Changes,None available,None available,05.0109,Pacific Area/Pacific Rim Studies.,05.0109,Pacific Area/Pacific Rim Studies.
"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of the Russian Federation and its Soviet, Czarist, and medieval predecessors and related borderlands","05.0105) Russian, Central European, East European and Eurasian Studies.",No Substantive Changes,None available,None available,05.0110,Russian Studies.,05.0110,Russian Studies.
"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of Scandinavia, defined as Northern Europe including Denmark, Finland, Iceland, Norway, Sweden, and related island groups (e.g., Greenland) and borderlands",None available,No Substantive Changes,None available,None available,05.0111,Scandinavian Studies.,05.0111,Scandinavian Studies.
"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of South Asia, defined as including Afghanistan, India, the Maldives, Myanmar (Burma), Pakistan, and Sri Lanka and related borderlands and island groups; and including the study of migration patterns and overseas diasporas",None available,No Substantive Changes,None available,[Indian/South Asian Studies],05.0112,South Asian Studies.,05.0112,South Asian Studies.
"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of Southeast Asia, defined as including Brunei, Cambodia, Indonesia, Laos, Malaysia, The Philippines, Singapore, Thailand, and Viet Nam; related borderlands and island groups; and including the study of migration patterns and overseas diasporas",None available,No Substantive Changes,None available,None available,05.0113,Southeast Asian Studies.,05.0113,Southeast Asian Studies.
"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of historical Western Europe, defined as including Britain, Ireland, France, the Low Countries, the Iberian Peninsula, Italy, the Western Mediterranean, and related island groups and borderlands",None available,No Substantive Changes,None available,None available,05.0114,Western European Studies.,05.0114,Western European Studies.
"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of Canada and its Pre-Columbian, colonial, and pre-federation predecessors, including immigrant flows and related borderlands and island groups",None available,No Substantive Changes,None available,None available,05.0115,Canadian Studies.,05.0115,Canadian Studies.
"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples inhabiting the Balkan Peninsula and associated island groups and borderlands, Southern Slavic and non-Slavic, during the medieval, Ottoman, and modern periods",None available,No Substantive Changes,None available,None available,05.0116,Balkans Studies.,05.0116,Balkans Studies.
"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples inhabiting the coastlands of the Baltic Sea, including Baltic, Germanic, Scandinavian, and Slavic populations, related borderlands and island groups, and problems of cultural survival and assimilation",None available,No Substantive Changes,None available,None available,05.0117,Baltic Studies.,05.0117,Baltic Studies.
"A program that focuses on the history, society, politics, culture, and economics of one or more of the Slavic peoples inhabiting Europe, Asia, and in immigrant groups elsewhere, including the study of the emergence and migration patterns of Slavic culture, languages, and populations",None available,No Substantive Changes,None available,None available,05.0118,Slavic Studies.,05.0118,Slavic Studies.
"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples inhabiting the major islands and archipelagoes of the Caribbean Sea and related coastal borderlands, including immigration patterns and Pre-Columbian, colonial, and modern societies",None available,No Substantive Changes,None available,None available,05.0119,Caribbean Studies.,05.0119,Caribbean Studies.
"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples and countries of Inner/Central Asia, including the Turkic and Mongolian inhabitants of the Caspian, Amur, Tien Shan, Baikal, Gobi, Siberian, and Manchurian areas and the historical Silk Road, in terms of their past and present development",None available,No Substantive Changes,None available,None available,05.0120,Ural-Altaic and Central Asian Studies.,05.0120,Ural-Altaic and Central Asian Studies.
"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples and countries comprising components of the historical British Empire and modern British Commonwealth, including migration patterns, shared sociocultural and political features and problems, and contemporary relations",None available,No Substantive Changes,None available,None available,05.0121,Commonwealth Studies.,05.0121,Commonwealth Studies.
"A program that focuses on the defined geographic subregions and subcultures within modern and historical countries and societies. Includes such topics as Acadian Studies, French Canadian and Quebec Studies, Southern (U.S.) Studies, New England Studies, Southwestern Studies, Northern Studies, and others",None available,No Substantive Changes,None available,None available,05.0122,"Regional Studies (U.S., Canadian, Foreign).",05.0122,"Regional Studies (U.S., Canadian, Foreign)"
"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of present-day China and its historical predecessors, related borderlands and island groups, and the overseas Chinese diaspora",None available,No Substantive Changes,None available,None available,05.0123,Chinese Studies.,05.0123,Chinese Studies.
"A program that focuses on the history, society, politics, culture, and economics of France, other Francophone countries inside and outside Europe, and the French colonial experience and the associated French minorities around the world",None available,No Substantive Changes,None available,None available,05.0124,French Studies.,05.0124,French Studies.
"A program that focuses on the history, society, politics, culture, and economics of Germany, the neighboring countries of Austria and Switzerland, the German minorities in neighboring European countries, and the historical areas of German influence across Europe and overseas",None available,No Substantive Changes,None available,None available,05.0125,German Studies.,05.0125,German Studies.
"A program that focuses on the history, society, politics, culture, and economics of modern Italy and its predecessors on the Italian Peninsula, including the overseas migrations of Italian peoples",None available,No Substantive Changes,None available,None available,05.0126,Italian Studies.,05.0126,Italian Studies.
"A program that focuses on the history, society, politics, culture, and economics of the peoples of Japan, and related island groups and coastal neighbors",None available,No Substantive Changes,None available,None available,05.0127,Japanese Studies.,05.0127,Japanese Studies.
"A program that focuses on the history, society, politics, culture, and economics of the peoples of Korea, including related island groups and borderlands",None available,No Substantive Changes,None available,None available,05.0128,Korean Studies.,05.0128,Korean Studies.
"A program that focuses on the history, society, politics, culture, and economics of Poland and the current and historical inhabitants of the Polish lands, including borderlands, from earliest times to the present",None available,No Substantive Changes,None available,None available,05.0129,Polish Studies.,05.0129,Polish Studies.
"A program that focuses on the history, society, politics, culture, and economics of the peoples of the Iberian Peninsula and related island groups and border regions from earliest times to the present, with particular emphasis on the development of Spain and Portugal but including other historical and current cultures",None available,No Substantive Changes,None available,None available,05.0130,Spanish and Iberian Studies.,05.0130,Spanish and Iberian Studies.
"A program that focuses on the history, society, politics, culture, and economics of Tibet and its borderlands, with emphasis on both pre-modern and modern Tibet and associated religious and exile movements",None available,No Substantive Changes,None available,None available,05.0131,Tibetan Studies.,05.0131,Tibetan Studies.
"A program that focuses on the history, society, politics, culture, and economics of the Ukraine and its inhabitants, and related border regions, from earliest times to the present",None available,No Substantive Changes,None available,None available,05.0132,Ukraine Studies.,05.0132,Ukraine Studies.
"A program that focuses on the history, society, politics, culture, and economics of Ireland and the Irish Diaspora, from the early Christian period to the present",None available,No Substantive Changes,None available,None available,05.0133,Irish Studies.,05.0133,Irish Studies.
"An integrated program that focuses on the history, society, politics, culture, and economics of the peoples and countries of the Latin American and Caribbean region","05.0107) Latin American Studies., 05.0119) Caribbean Studies.",No Substantive Changes,None available,None available,05.0134,Latin American and Caribbean Studies.,05.0134,Latin American and Caribbean Studies.
"A program of study that focuses on the history, sociology, culture, and economics of the Appalachian region of the United States. Includes instruction in contemporary issues in Appalachia, political economy of Appalachia, community-based research, ethnomusicology, and oral and written languages of Appalachia",None available,New,None available,None available,05.0135,Appalachian Studies.,,
"A program that focuses on the history, society, politics, culture, and economics of the Arctic region",None available,New,None available,None available,05.0136,Arctic Studies.,,
Any instructional program in specifically defined area studies not listed above,None available,No Substantive Changes,None available,None available,05.0199,"Area Studies, Other.",05.0199,"Area Studies, Other."
Instructional content for this group of programs is defined in codes 05.0200 - 05.0299,None available,No Substantive Changes,None available,None available,05.02,"Ethnic, Cultural Minority, Gender, and Group Studies.",05.02,"Ethnic, Cultural Minority, Gender, and Group Studies."
